Ward_No,Ward Name,BBMP Zone Name,"Assemblyconstituency name",MP Constituency,"Population2011","Area (sqkm)","Households #(Census 2011)","Roadlength(kms)",Lakes #,"Lake area (sqm)",Parks #,Park area (sq m),Playgrounds #,"Playgroundarea (sq m)","GovtSchools #","Policestations #","Firestations #","Bus stops#","BMTCTTMC #","Street lights#",Police stn,BBMP Division,"BBMP SubDivision","Populationdensity 2011(persons persq km)","Decadalpopngrowth rate%2011/2001","Decadal HHsgrowth rate2011/2001%",Lake name,"Bus routes#"
45,Malleshwaram,West,Malleshwaram,Bangalore North,34196,1.8,8503,34,0,0,4,13706.6,0,0,4,1,0,26,0,1673,Yeshwanth Pura,Malleshwaram,Mattikere,"18,939",-5.90%,-0.20%,,319
46,"JayachamarajendraNagar",East,Hebbal,Bangalore North,31449,0.9,7696,29,0,0,8,16200.7,1,10075,3,0,0,14,0,2280,,Hebbal,J.C. Nagar,"35,246",2.30%,14.50%,,95
47,Devara Jeevanahalli,East,Pulakeshi Nagar (SC),Bangalore North,42135,1.4,8941,28,0,0,4,8179.71,1,1709,2,0,0,6,0,1116,,Pulikeshi Nagar,Pulikeshi Nagar,"30,833",25.80%,35.20%,,36
48,Muneshwara Nagar,East,Pulakeshi Nagar (SC),Bangalore North,35814,0.5,7419,21,0,0,1,742.8,1,4742,5,0,0,0,0,666,,Pulikeshi Nagar,K.G. Halli,"74,511",17.40%,26.90%,,3
49,Lingarajapura,East,Sarvagna Nagar,Bangalore Central,37955,0.9,8850,36,0,0,6,11588.55,1,9713,4,0,0,7,0,1312,,Sarvajna Nagar,"Maruthi SevaNagar","43,274",17.20%,29.70%,,50
50,Benniganahalli,East,"C.V. Ramannagar(SC)",Bangalore Central,49094,4.9,12384,64,1,28748,36,105644.64,0,0,5,1,0,30,1,2103,Baiyappanahalli,C.V.Raman Nagar,"C.V.RamanNagar","9,980",53.50%,67.40%,B Channasandra,258
51,Vijnanapura,Mahadevapura,K.R. Puram,Bangalore North,46159,2.1,11087,55,0,0,7,11927.75,1,3809,2,0,0,11,0,1847,,K.R.Puram,Horamaavu,"22,464",31.60%,42.50%,,69
52,KR Puram,Mahadevapura,K.R. Puram,Bangalore North,35168,4.8,8961,83,3,332124,9,12806.52,1,8851,3,1,0,14,0,2453,Krishnarajapuram,K.R.Puram,K.R.Puram,"7,308",32.80%,52.80%,"Kavudenahalli,Vengaiah /K.R.Puram,Bhattarahalli",127
53,Basavanapura,Mahadevapura,K.R. Puram,Bangalore North,48585,6.3,11936,126,3,206069,7,4816.87,1,5086,7,0,0,8,1,2213,,K.R.Puram,K.R.Puram,"7,740",120.70%,134.00%,"Dyavasandra,Basavanapura,Seegehalli",110
54,Hudi,Mahadevapura,Mahadevapura,Bangalore Central,50191,15,12579,197,3,296464,7,20559.83,0,0,13,0,1,41,0,3478,,Mahadevapura,Hoodi,"3,349",142.50%,168.20%,"Sadara mangala,Hoodi Kere -2,Jimkenahalli",229
55,Devasandra,Mahadevapura,K.R. Puram,Bangalore North,33946,3.5,8638,45,4,138527,1,46959.59,0,0,6,1,0,15,0,890,Mahadevapura,K.R.Puram,K.R.Puram,"9,754",53.90%,69.70%,"Mahadevapura,GangashettyKere,Vijanapura,Vijinapura - 42",250
56,A Narayanapura,Mahadevapura,K.R. Puram,Bangalore North,43443,2.1,11039,52,2,141307,1,3232.73,1,4734,4,0,0,7,0,2994,,K.R.Puram,HAL. Airport,"20,286",47.70%,62.30%,"B Narayanapura,KR Puram ( BEML Kere)",257
57,C.V. Raman Nagar,East,"C.V. Ramannagar(SC)",Bangalore Central,58815,3.6,16710,67,1,143548,2,1391.3,1,3302,5,0,0,20,0,1639,,C.V.Raman Nagar,"C.V.RamanNagar","16,379",97.60%,125.80%,Kaggadasapura,216
58,New Tippa Sandra,East,"C.V. Ramannagar(SC)",Bangalore Central,43983,3.4,12200,68,1,28811,10,32901.02,1,12550,4,1,0,18,0,2127,Jeevan Bima Nagar,C.V.Raman Nagar,"C.V.RamanNagar","13,085",27.20%,44.60%,Kelegena Byrasandra,44
59,Maruthi Seva Nagar,East,Sarvagna Nagar,Bangalore Central,40362,2.4,10113,45,1,46330,6,12103.5,4,25490,6,0,0,9,0,1747,,Sarvajna Nagar,"Maruthi SevaNagar","16,942",12.70%,26.50%,Byappanahalli,102
60,Sagayara Puram,East,Pulakeshi Nagar (SC),Bangalore North,35334,0.8,7340,26,0,0,2,10828.66,4,26207,3,0,0,16,0,1017,,Pulikeshi Nagar,K.G. Halli,"45,792",1.30%,16.80%,,113
61,SK Garden,East,Pulakeshi Nagar (SC),Bangalore North,38050,1.3,7941,26,0,0,4,7971.2,1,5465,4,1,0,5,0,803,DJ Halli,Pulikeshi Nagar,Pulikeshi Nagar,"29,129",12.10%,26.50%,,72
62,Ramaswamy Palya,East,Shivaji Nagar,Bangalore Central,34394,0.8,7530,24,0,0,4,79966.23,0,0,5,1,0,3,0,1418,JC Nagar,Shivaji Nagar,Vasanth Nagar,"41,334",6.20%,14.50%,,11
63,Jaya Mahal,East,Shivaji Nagar,Bangalore Central,21728,1.4,4808,34,0,0,12,159743.29,0,0,2,0,0,36,0,2728,,Shivaji Nagar,Vasanth Nagar,"14,986",-9.70%,4.20%,,275
64,Raj Mahal Guttahalli,West,Malleshwaram,Bangalore North,31118,0.7,7641,24,0,0,8,12855.25,2,10927,2,1,0,7,0,1951,Vyallkaval,Malleshwaram,Malleshwaram,"43,530",-8.40%,-1.00%,,134
65,"Kadu MalleshwarWard",West,Malleshwaram,Bangalore North,35609,1.4,9823,32,0,0,9,37858.9,3,22652,6,1,0,19,0,1278,Malleshwaram,Malleshwaram,Malleshwaram,"26,086",4.60%,15.70%,,278
66,Subramanya Nagar,West,Malleshwaram,Bangalore North,35709,0.9,9383,28,0,0,6,26920.05,1,18968,2,1,0,12,0,1983,Subramanya Nagar,Malleshwaram,Malleshwaram,"37,919",2.40%,10.00%,,114
67,Nagapura,West,Mahalakshmi Layout,Bangalore North,34574,1.8,8667,47,0,0,25,63498.46,3,15374,1,0,0,30,0,2535,,Mahalakshmi Layout,Naagapura,"19,260",-2.80%,6.90%,,137
68,Mahalakshmipuram,West,Mahalakshmi Layout,Bangalore North,44615,0.9,11563,33,0,0,10,28541.61,1,2197,3,1,0,7,0,2380,Mahalakshmi Layout,Mahalakshmi Layout,"MahalakshmiLayout","47,275",24.00%,33.00%,,43
69,Laggere,Rajarajeshwari,Rajarajeswari Nagar,Bangalore North,57077,1.6,15178,55,0,0,0,0,6,11766,2,0,0,11,0,3579,,Rajarajeshwari Nagar,Laggere,"36,245",125.00%,137.40%,,39
70,Rajagopal Nagar,Dasarahalli,Dasarahalli,Bangalore North,61479,2.2,17262,67,0,0,2,4476.28,1,3110,4,1,0,5,0,2210,Rajagopal Nagar,Hegganahalli,Hegganahalli,"28,249",114.90%,134.50%,,56
71,Hegganahalli,Dasarahalli,Dasarahalli,Bangalore North,66314,1.8,18438,56,0,0,2,2943.19,1,6508,6,0,0,13,0,1895,,Hegganahalli,Hegganahalli,"37,639",114.70%,133.00%,,167
72,Herohalli,Rajarajeshwari,Yeshwantpura,Bangalore North,62272,7.8,16215,184,3,362593,27,110037.05,4,24500,4,0,0,59,1,3561,,Kengeri,Herohalli,"8,035",216.60%,240.00%,"Mallathahalli,Vishwanedum,Herohalli",146
73,Kottegepalya,Rajarajeshwari,Rajarajeswari Nagar,Bangalore North,68922,5.8,17739,139,1,12508,22,64783.08,3,9000,1,0,0,61,1,5009,,Rajarajeshwari Nagar,Laggere,"11,784",136.80%,148.70%,Nagarabhavi,246
74,"Shakthi GanapathiNagar",West,Mahalakshmi Layout,Bangalore North,43844,0.7,11074,28,1,35048,4,14165.96,1,744,3,0,0,11,0,1174,,Mahalakshmi Layout,"MahalakshmiLayout","62,558",27.00%,37.40%,Shivanahalli (Agrahara Dasarahalli),31
75,Shankar Matt,West,Mahalakshmi Layout,Bangalore North,48734,1.1,12433,40,0,0,16,34953.63,1,499,1,0,0,8,0,2119,,Mahalakshmi Layout,Naagapura,"44,963",36.60%,48.60%,,34
76,Gayithri Nagar,West,Malleshwaram,Bangalore North,33236,0.6,8489,28,0,0,3,16947.71,1,1335,0,0,0,9,0,1457,,Malleshwaram,Malleshwaram,"51,465",-6.10%,0.90%,,64
77,"Dattatreya TempleWard",West,Gandhi Nagar,Bangalore Central,33388,0.7,8325,25,0,0,2,2370.79,1,2957,2,1,0,5,0,1854,Malleshwaram,Gandhi Nagar,Gandhi Nagar,"46,485",-2.50%,4.40%,,261
78,Pulakeshi Nagar,East,Pulakeshi Nagar (SC),Bangalore North,28835,1.7,6595,41,0,0,11,64726.89,5,35789,3,0,0,31,0,2278,,Pulikeshi Nagar,Pulikeshi Nagar,"16,761",2.40%,13.00%,,152
79,Sarvagna Nagar,East,"C.V. Ramannagar(SC)",Bangalore Central,37291,3.6,9052,52,1,58784,7,40254.93,1,1058,4,1,0,16,0,1008,Frazer Town,C.V.Raman Nagar,"C.V.RamanNagar","10,218",6.70%,17.10%,Kadirena Palya (Binnamangala),234
80,Hoysala Nagar,East,"C.V. Ramannagar(SC)",Bangalore Central,35228,2.1,8877,51,0,0,17,67642.01,4,32099,0,1,0,19,1,2955,Indira Nagar,C.V.Raman Nagar,"JeevanbheemaNagar","17,131",-1.80%,11.60%,,264
81,Vijnana Nagar,Mahadevapura,K.R. Puram,Bangalore North,57062,5.7,15419,106,2,246964,4,9079.55,1,2315,3,0,0,17,0,2261,,K.R.Puram,HAL. Airport,"9,935",130.50%,165.30%,"Vibhuthipura,Mahadevapura",64
82,Garudachar palya,Mahadevapura,Mahadevapura,Bangalore Central,49631,6.8,13453,70,4,193053,4,17193.93,0,0,6,0,0,23,1,3663,,Mahadevapura,Hoodi,"7,316",137.20%,154.90%,"Pattandur agrahara Kere -124,Garudacharpalya ( Gopala),Hoodi(Giddanakere),Garudacharpalya (Achanakere)",165
83,Kadugodi,Mahadevapura,Mahadevapura,Bangalore Central,43942,11.2,11423,101,1,40073,5,43598.85,0,0,7,2,0,29,1,3377,Kadugodi,Mahadevapura,White Field,"3,934",97.90%,122.80%,Pattandur agrahara Kere - 54,186
84,Hagadur,Mahadevapura,Mahadevapura,Bangalore Central,50556,12.6,13419,154,3,250263,18,66851.51,3,10654,2,2,0,33,0,2845,Whitefield,Mahadevapura,White Field,"4,003",95.10%,124.10%,"Siddapura,Sheelavanthana Kere,Nallurahalli",108
85,Dodda Nekkundi,Mahadevapura,Mahadevapura,Bangalore Central,63083,12,17755,155,5,695188,28,75082.02,3,15656,0,0,0,34,0,3997,,Mahadevapura,Hoodi,"5,270",186.50%,235.80%,"Munnekolala,Chinnappanahalli,Kundalahalli,Doddanekkundi,Sonnenahalli",195
86,Marathahalli,Mahadevapura,Mahadevapura,Bangalore Central,39768,3.1,11051,53,0,0,1,9987.51,0,0,6,1,0,10,0,1461,HAL,Mahadevapura,Maarathahalli,"12,679",76.80%,107.30%,,191
87,HAL Airport,Mahadevapura,K.R. Puram,Bangalore North,39926,6.8,10044,41,0,0,11,71105.52,0,0,3,1,0,26,0,2455,HAL,K.R.Puram,HAL. Airport,"5,888",20.70%,35.20%,,150
88,Jeevanbhima Nagar,East,"C.V. Ramannagar(SC)",Bangalore Central,38251,1.9,9741,47,0,0,7,21565.77,0,0,4,0,0,16,0,1618,,C.V.Raman Nagar,"JeevanbheemaNagar","20,286",5.80%,17.50%,,145
89,Jogupalya,East,Shanthi Nagar,Bangalore Central,33793,0.9,8806,30,0,0,3,4910.3,4,26657,0,1,0,2,0,2501,Halasuru Gate,Shanti Nagar,Dommalooru,"37,452",-2.40%,8.40%,,68
90,Halsoor,East,Shivaji Nagar,Bangalore Central,35090,1.7,7771,34,1,438884,9,75990.61,1,2142,4,0,0,9,0,2576,,Shivaji Nagar,Shivaji Nagar,"20,803",-2.20%,10.10%,Ulsoor,257
91,Bharathi Nagar,East,Shivaji Nagar,Bangalore Central,32689,0.8,7074,30,0,0,2,3610.27,0,0,2,1,0,5,0,1659,Bharathi Nagar,Shivaji Nagar,Shivaji Nagar,"41,815",0.20%,13.40%,,191
92,Shivaji Nagar,East,Shivaji Nagar,Bangalore Central,37506,0.4,7276,22,0,0,1,702.84,0,0,3,1,0,2,0,1631,Shivaji Nagar,Shivaji Nagar,Shivaji Nagar,"87,856",4.90%,22.00%,,30
93,Vasanth Nagar,East,Shivaji Nagar,Bangalore Central,22815,3.1,5304,47,0,0,12,555682.41,5,19944,7,1,1,31,0,1595,High Grounds,Shivaji Nagar,Vasanth Nagar,"7,286",-11.00%,-3.40%,,507
94,Gandhi Nagar,West,Gandhi Nagar,Bangalore Central,31208,1.9,6599,38,0,0,18,137209.8,5,53516,6,2,0,16,0,1909,"Upperpet,Seshadripuram",Gandhi Nagar,Gandhi Nagar,"16,334",-11.60%,-3.90%,,969
95,Subhash Nagar,West,Gandhi Nagar,Bangalore Central,37693,1.3,8711,27,0,0,6,40208.26,1,15784,3,0,0,13,0,1191,,Gandhi Nagar,Gandhi Nagar,"28,599",6.40%,21.50%,,496
96,Okalipuram,West,Gandhi Nagar,Bangalore Central,38110,0.8,8693,21,0,0,4,17544.52,1,1927,3,0,0,9,0,1433,,Gandhi Nagar,Gandhi Nagar,"46,279",6.20%,16.70%,,259
97,Dayananda Nagar,West,Rajaji Nagar,Bangalore Central,35721,0.4,8253,20,0,0,2,1577.1,3,9090,3,0,0,7,0,1162,,Rajajinagar,Srirama Mandir,"80,035",3.30%,14.50%,,13
98,Prakash Nagar,West,Rajaji Nagar,Bangalore Central,32913,0.6,8276,20,0,0,2,46826.65,1,2886,4,0,0,4,0,904,,Rajajinagar,Srirama Mandir,"57,730",-7.20%,1.20%,,136
99,Rajaji Nagar,West,Rajaji Nagar,Bangalore Central,33084,0.9,8398,27,0,0,8,19480.05,2,8346,1,1,0,13,0,1367,Rajaji Nagar,Rajajinagar,Rajajinagar,"38,388",-0.40%,11.10%,,118
100,Basaveshwara Nagar,West,Rajaji Nagar,Bangalore Central,30333,0.8,7495,26,1,62606,3,21279.54,5,26494,1,0,0,8,0,1155,,Rajajinagar,Rajajinagar,"36,191",12.30%,21.90%,Sane guruvanahalli,39
101,Kamakshipalya,West,Rajaji Nagar,Bangalore Central,30051,0.9,7482,28,1,11822,5,20814.83,2,10491,2,1,0,15,0,1561,Kamakshipalya,Rajajinagar,Rajajinagar,"33,135",16.70%,27.90%,Kamakshi Palya,190
102,Vrisahbhavathi Nagar,West,Mahalakshmi Layout,Bangalore North,50893,1,13443,40,0,0,2,3853.89,1,894,3,0,0,2,0,1163,,Mahalakshmi Layout,Naagapura,"51,187",48.20%,63.70%,,166
103,Kaveripura,South,Govindaraja Nagar,Bangalore South,53532,1.7,14168,48,1,23481,10,38257.51,1,676,2,0,0,8,0,1971,,Govindaraj Nagar,"GovindarajNagar","32,357",51.80%,62.90%,Malagala,201
104,Govindaraja Nagar,South,Govindaraja Nagar,Bangalore South,26873,0.8,6678,26,0,0,10,18191.33,6,20865,1,0,0,7,0,1067,,Govindaraj Nagar,"GovindarajNagar","34,956",4.30%,13.80%,,259
105,Agrahara Dasarahalli,South,Govindaraja Nagar,Bangalore South,28355,0.8,7192,28,0,0,9,27897.08,0,0,1,1,0,8,0,1381,Basaveshwara Nagar,Govindaraj Nagar,"GovindarajNagar","35,597",5.60%,15.30%,,253
106,Dr.Raj Kumar Ward,South,Govindaraja Nagar,Bangalore South,24181,1,6077,30,0,0,17,52755.86,2,9693,1,0,1,12,0,1475,,Govindaraj Nagar,"GovindarajNagar","24,492",-2.30%,6.50%,,246
107,Shiva Nagar,West,Rajaji Nagar,Bangalore Central,36461,0.8,9260,28,0,0,4,14886.63,3,5135,1,0,0,16,0,1035,,Rajajinagar,Rajajinagar,"46,943",1.30%,8.60%,,74
108,"Sri Rama MandirWard",West,Rajaji Nagar,Bangalore Central,33866,1.1,8156,33,0,0,11,25237.43,4,15345,4,0,0,9,0,2032,,Rajajinagar,Srirama Mandir,"31,973",0.80%,9.70%,,128
109,Chickpete,West,Gandhi Nagar,Bangalore Central,33292,0.7,6842,38,0,0,0,0,0,0,2,1,0,1,0,1030,Chickpet,Gandhi Nagar,Chikpet,"46,929",-1.20%,10.60%,,269
110,Sampangiram Nagar,East,Shivaji Nagar,Bangalore Central,27504,4.4,6423,58,0,0,10,816445.8,3,119431,6,6,0,89,0,2018,"SR Nagar, HalasuruGate, Cubbon Park,MS Building,Commercial Steet,Bowring Hospital",Shivaji Nagar,Vasanth Nagar,"6,185",-17.00%,-7.40%,,1197
